"","SRR18218736_OE","SRR18218737_OE","SRR18218734_CTL","SRR18218735_CTL"
"CCND1",-0.918049796113354,-0.779525750061608,0.615718245519518,1.08185730065544
"SDF2L1",-0.837196487677071,-0.890109074218214,0.777005146997323,0.950300414897962
"PDIA4",-0.805560661447351,-0.893875039698333,0.617318858569277,1.08211684257641
"PSCA",0.909440950048344,0.821281650935911,-0.884245783967954,-0.846476817016301
"HSPA5",-0.823084391597965,-0.860777622145369,0.555663362124923,1.12819865161841
"CRELD2",-0.831551101916095,-0.882488748174684,0.682706887097,1.03133296299378
"SEL1L",-0.882459846399048,-0.801455515030753,0.558101903346772,1.12581345808303
"XBP1",-0.858546653732008,-0.873427550546061,0.857194060277563,0.874780144000506
"AFAP1",0.74696341542831,0.972844404316697,-0.951418806401233,-0.768389013343774
"TFRC",0.781992515723405,0.944926107892264,-0.910779443257545,-0.816139180358125
"GFPT1",-0.828684819217907,-0.871814381951032,0.618546787445498,1.08195241372344
"GALNT2",0.890089745252735,0.830629555574636,-0.997029564224087,-0.723689736603284
"SLC6A9",-0.93975144438886,-0.777671861235293,0.72210584462408,0.995317461000073
"HSPG2",0.693855008436665,1.02220505277003,-0.882839207578859,-0.833220853627838
"PDE2A",0.92477136113081,0.799283573343868,-0.961428147495774,-0.762626786978906
"PSAT1",-0.825260474158624,-0.886604693124745,0.672035747832036,1.03982941945133
"HERPUD1_ENST00000379792",-0.861377789236706,-0.867785658601838,0.79396571913205,0.935197728706494
"GOLM1",0.857265961603044,0.872393504186244,-0.928719133945268,-0.800940331844019
"ALPP",1.00705435949524,0.712412688727905,-0.86335381405242,-0.856113234170722
"NCOR2",0.922126046831208,0.799970563870102,-0.97707046358418,-0.74502614711713
"MANF",-0.826420685501957,-0.878286906578578,0.637148111800049,1.06755948028049
"HYOU1_ENST00000534233",-0.942177426172729,-0.775815911706875,0.727351664755044,0.99064167312456
"RPPH1",1.04174664566484,0.670212753173241,-0.865368525090252,-0.846590873747831
"HERPUD1_ENST00000570273",-0.875790210127831,-0.84496158205248,0.721562950811729,0.999188841368582
"DNAJC3",-0.87620805673855,-0.824433184844555,0.61958370486038,1.08105753672272
"HYOU1_ENST00000617285",-0.835949826309944,-0.878283599533342,0.683180391895919,1.03105303394737
"PSAP",0.814079724298909,0.916397561871693,-0.854897170635922,-0.875580115534681
